cgpa,iq,placement
"6,8",123.0,Yes
"5,9",106.0,No
"5,3",121.0,No
"7,4",132.0,Yes
"5,8",142.0,No
"7,1",48.0,Yes
"5,7",143.0,No
"5,0",63.0,No
"6,1",156.0,No
,66.0,No
"6,0",45.0,Yes
"6,9",138.0,Yes
"5,4",139.0,No
"6,4",116.0,Yes
"6,1",103.0,No
"5,1",176.0,No
"5,2",224.0,No
"3,3",183.0,No
"4,0",100.0,No
"5,2",132.0,No
"6,6",120.0,Yes
"7,1",151.0,Yes
"4,9",120.0,No
"4,7",87.0,No
"4,7",121.0,No
"5,0",91.0,No
"7,0",199.0,Yes
"6,0",124.0,Yes
"5,2",90.0,No
"7,0",112.0,Yes
"7,6",128.0,Yes
"3,9",109.0,No
"7,0",139.0,Yes
"6,0",149.0,No
"4,8",163.0,No
"6,8",90.0,Yes
"5,7",140.0,No
"8,1",149.0,Yes
"6,5",160.0,Yes
"4,6",146.0,No
"4,9",134.0,No
"5,4",114.0,No
"7,6",89.0,Yes
"6,8",141.0,Yes
"7,5",61.0,Yes
"6,0",66.0,Yes
"5,3",114.0,No
"5,2",161.0,No
"6,6",138.0,Yes
"5,4",135.0,No
"3,5",233.0,No
"4,8",141.0,No
"7,0",175.0,Yes
"8,3",168.0,Yes
,141.0,Yes
"7,8",114.0,Yes
"6,1",65.0,No
"6,5",130.0,Yes
"8,0",79.0,Yes
"4,8",112.0,No
"6,9",139.0,Yes
"7,3",137.0,Yes
"6,0",102.0,No
"6,3",128.0,Yes
"7,0",64.0,Yes
"8,1",166.0,Yes
"6,9",96.0,Yes
"5,0",118.0,No
"4,0",75.0,No
"8,5",120.0,Yes
"6,3",127.0,Yes
"6,1",132.0,Yes
"7,3",116.0,Yes
"4,9",61.0,No
"6,7",154.0,Yes
"4,8",169.0,No
"4,9",155.0,No
"7,3",50.0,Yes
"6,1",81.0,No
"6,5",90.0,Yes
"4,9",196.0,No
,107.0,No
"6,5",37.0,Yes
"7,5",130.0,Yes
"5,7",169.0,No
,166.0,Yes
"5,1",128.0,No
"5,7",132.0,Yes
"4,4",149.0,No
"4,9",151.0,No
"7,3",86.0,Yes
,158.0,Yes
"5,2",110.0,No
"6,8",112.0,Yes
"4,7",52.0,No
"4,3",200.0,No
"4,4",42.0,No
"6,7",182.0,Yes
"6,3",103.0,Yes
"6,2",113.0,Yes
